14 янв. 2025 12:38:37,650 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@31d1feea
14 янв. 2025 13:06:11,740 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM HIDE : FORM[400694369 - HockeyStats.teams,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:06:11,740 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[400694369 - HockeyStats.teams,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]]
14 янв. 2025 13:06:12,117 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[984150933 - Stats.teamDetails,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]]
14 янв. 2025 13:06:13,213 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM HIDE : FORM[955805071 - Stats.teamDetails,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:06:13,213 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM DELAYED HIDE : RF[FORM[955805071 - Stats.teamDetails,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]]
14 янв. 2025 13:06:14,261 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[1165614703 - Stats.teamDetails,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:06:16,275 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[2139130609 - HockeyStats.teams,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]]
14 янв. 2025 13:06:16,758 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[400694369 - HockeyStats.teams,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]]
14 янв. 2025 13:06:17,051 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM OPEN : FORM[2071939697 - HockeyStats.scoreTable,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
14 янв. 2025 13:06:17,120 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[984150933 - Stats.teamDetails,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]]
14 янв. 2025 13:06:17,120 admin - 0:0:0:0:0:0:0:1 - 0:0:0:0:0:0:0:1  INFO RemoteLogger - FORM CLOSE : FORM[984150933 - Stats.teamDetails,RN[clientAddress: 0:0:0:0:0:0:0:1,268 - Authentication.CustomUser 'Обычный пользователь',702422760,SQL@834168333]]
